Discipline,Female,Male,Total,Avg_Female,Avg_Male
3x3 Basketball,32,32,64,0.5,0.5
Archery,64,64,128,0.5,0.5
Artistic Gymnastics,98,98,196,0.5,0.5
Artistic Swimming,105,0,105,1.0,0.0
Athletics,969,1072,2041,0.4747672709456149,0.5252327290543851
Badminton,86,87,173,0.49710982658959535,0.5028901734104047
Baseball/Softball,90,144,234,0.38461538461538464,0.6153846153846154
Basketball,144,144,288,0.5,0.5
Beach Volleyball,48,48,96,0.5,0.5
Boxing,102,187,289,0.35294117647058826,0.6470588235294118
Canoe Slalom,41,41,82,0.5,0.5
Canoe Sprint,123,126,249,0.4939759036144578,0.5060240963855421
Cycling BMX Freestyle,10,9,19,0.5263157894736842,0.47368421052631576
Cycling BMX Racing,24,24,48,0.5,0.5
Cycling Mountain Bike,38,38,76,0.5,0.5
Cycling Road,70,131,201,0.3482587064676617,0.6517412935323383
Cycling Track,90,99,189,0.47619047619047616,0.5238095238095238
Diving,72,71,143,0.5034965034965035,0.4965034965034965
Equestrian,73,125,198,0.3686868686868687,0.6313131313131313
Fencing,107,108,215,0.49767441860465117,0.5023255813953489
Football,264,344,608,0.4342105263157895,0.5657894736842105
Golf,60,60,120,0.5,0.5
Handball,168,168,336,0.5,0.5
Hockey,192,192,384,0.5,0.5
Judo,192,201,393,0.48854961832061067,0.5114503816793893
Karate,40,42,82,0.4878048780487805,0.5121951219512195
Marathon Swimming,25,25,50,0.5,0.5
Modern Pentathlon,36,36,72,0.5,0.5
Rhythmic Gymnastics,96,0,96,1.0,0.0
Rowing,257,265,522,0.49233716475095785,0.5076628352490421
Rugby Sevens,146,151,297,0.49158249158249157,0.5084175084175084
Sailing,175,175,350,0.5,0.5
Shooting,178,178,356,0.5,0.5
Skateboarding,40,40,80,0.5,0.5
Sport Climbing,20,20,40,0.5,0.5
Surfing,20,20,40,0.5,0.5
Swimming,361,418,779,0.4634146341463415,0.5365853658536586
Table Tennis,86,86,172,0.5,0.5
Taekwondo,65,65,130,0.5,0.5
Tennis,94,97,191,0.49214659685863876,0.5078534031413613
Trampoline Gymnastics,16,16,32,0.5,0.5
Triathlon,55,55,110,0.5,0.5
Volleyball,144,144,288,0.5,0.5
Water Polo,122,146,268,0.4552238805970149,0.5447761194029851
Weightlifting,98,99,197,0.49746192893401014,0.5025380710659898
Wrestling,96,193,289,0.33217993079584773,0.6678200692041523
